#type	charge(e)	radius(A)	epsilon(kJ.mol-1)	mass(Da)	transferIMP(kJ.mol-1.A-2
YCE2	-0.2341	1.908	0.086	12.01	-0.0134
YCZ	0.3226	1.908	0.086	12.01	-0.0134
YH	0.2719	0.6	0.0157	1.008	0.0362
YHA	0.0876	1.387	0.0157	1.008	-0.0397
YHB2	0.0295	1.487	0.0157	1.008	-0.0397
YHB3	0.0295	1.487	0.0157	1.008	-0.0397
YHD1	0.1699	1.459	0.015	1.008	-0.0397
YHD2	0.1699	1.459	0.015	1.008	-0.0397
YHE1	0.1656	1.459	0.015	1.008	-0.0397
YHE2	0.1656	1.459	0.015	1.008	-0.0397
YHH	0.3992	0.0	0.0	1.008	0.0362
YN	-0.4157	1.824	0.17	14.01	0.112
YO	-0.5679	1.6612	0.21	16.0	0.0403
YOH	-0.5579	1.721	0.2104	16.0	0.0403
YYCG	-0.0011	1.908	0.086	12.01	-0.0134
